ID,Name,X,Y
1,Delhi,700,220
2,Amritsar,640,130
3,Chandigarh,670,150
4,Jaipur,600,350
5,Lucknow,690,320
6,Kanpur,675,340
7,Agra,670,275
8,Varanasi,750,375
9,Meerut,720,250
10,Aligarh,690,260
11,Patna,770,410
12,Ghaziabad,715,230
13,Moradabad,730,265
14,Bareilly,705,280
15,Saharanpur,690,205
16,Haridwar,670,190
17,Roorkee,665,180
18,Rishikesh,660,170
19,Nainital,655,150
20,Mathura,680,265
21,Hoshiarpur,645,140
22,Kullu,655,120
23,Shimla,660,110
24,Kangra,650,125
25,Solan,660,130
26,Srinagar,610,90
27,Jammu,625,100
28,Ludhiana,660,180
29,Patiala,650,170
30,Panipat,705,240
31,Sonipat,710,230
32,Muzaffarnagar,720,260
33,Fatehpur,690,310
34,Karnal,705,230
35,Bhiwani,680,245
36,Hisar,670,275
37,Jind,660,280
38,Kurukshetra,715,220
39,Rohtak,720,230
40,Faridabad,700,215
41,Barnala,640,150
42,Muktsar,635,135
43,Sangrur,630,140
44,Bhatinda,625,160
45,Jalandhar,650,160
46,Ambala,675,160
47,Gurugram,710,210
48,Noida,715,220
49,Farukhabad,755,360
